id,question,answer,meta_keyword,error_code
1,"How can I assign the categories to the product(s)?","<p>There are two ways:</p><ul><li>In Bulk products<ul><li>Via Template Method-<ol><li>Visit Settings section</li><li>Click on Product Templates</li><li>Choose Custom templates Add new Template</li><li>Set the category & filter the products</li></ol></li></ul></li><li>Select the products<ol><li>Visit Listings section</li><li>Find the product</li><li>Click on the product row to edit</li><li>Set/assign the category & Attributes</li><li>Save</li></ol></li></ul>","How can I assign the categories to the product(s)?, <p>There are two ways:</p><ul><li>In Bulk products<ul><li>Via Template Method-<ol><li>Visit Settings section</li><li>Click on Product Templates</li><li>Choose Custom templates Add new Template</li><li>Set the category & filter the products</li></ol></li></ul></li><li>Select the products<ol><li>Visit Listings section</li><li>Find the product</li><li>Click on the product row to edit</li><li>Set/assign the category & Attributes</li><li>Save</li></ol></li></ul>",ced-amazon-7
2,"In which section can we perform Attribute Mapping techniques?","<ul><li>By assigning categories to the particular product, you can perform attribute mapping techniques.</li></ul>","In which section can we perform Attribute Mapping techniques?, <ul><li>By assigning categories to the particular product, you can perform attribute mapping techniques.</li></ul>",ced-amazon-8
3,"What is the function of the Amazon Action key?","<ul><li>There are two keys in Amazon. One is the “Match from Amazon” key and the other is the “Search from Amazon” key. Using the match from Amazon key you can simply match your products from the Amazon marketplace while the Search from Amazon key lets you list or create the offer of the products.</li></ul>","What is the function of the Amazon Action key?, <ul><li>There are two keys in Amazon. One is the “Match from Amazon” key and the other is the “Search from Amazon” key. Using the match from Amazon key you can simply match your products from the Amazon marketplace while the Search from Amazon key lets you list or create the offer of the products.</li></ul>",ced-amazon-9
4,"How can I delete products from Amazon via the app?","<ul><li>To delete the products from Amazon, in the app you need to just select a product from the listing grid and simply delete the product from the “Actions” section.</li></ul>","How can I delete products from Amazon via the app?, <ul><li>To delete the products from Amazon, in the app you need to just select a product from the listing grid and simply delete the product from the “Actions” section.</li></ul>",ced-amazon-10
5,"How can I update the products title & description?","<ul><li>Go to the <b>listings</b> section</li><li>Click on the particular product</li><li>Click on the radio button to set custom title and description</li><li>Hence, you can edit the product title and description.</li></ul>","How can I update the products title & description?, <ul><li>Go to the <b>listings</b> section</li><li>Click on the particular product</li><li>Click on the radio button to set custom title and description</li><li>Hence, you can edit the product title and description.</li></ul>",ced-amazon-11
6,"What are the fields that we can use while filtering the products in the Listings section?","<ul><li>The fields which you can use while filtering are Title, Inventory, SKU, Tags, Product Type, Vendor, Template Name, Status.</li></ul>","What are the fields that we can use while filtering the products in the Listings section?, <ul><li>The fields which you can use while filtering are Title, Inventory, SKU, Tags, Product Type, Vendor, Template Name, Status.</li></ul>",ced-amazon-12
7,"What are the fields which we can edit in a particular products section?","<ul><li>Under the products section, the fields that you can edit are Title, Description, Handling Time, Variants, Add category.</li></ul>","What are the fields which we can edit in a particular products section?, <ul><li>Under the products section, the fields that you can edit are Title, Description, Handling Time, Variants, Add category.</li></ul>",ced-amazon-13
8,"Can I change the tags of products from the application?","<ul><li>No, you can’t edit the tags from the application.</li></ul>","Can I change the tags of products from the application?, <ul><li>No, you can’t edit the tags from the application.</li></ul>",ced-amazon-14
9,"How does the Filter Section work under the Custom Templates?","<ul><li>The filter option avails two conditions i.e. 'and' & 'or'.  If we talk about the “and” condition, it will help you add multiple conditions in a single group. Similarly, the 'or' condition will help you add multiple groups in a filter Condition of products.</li></ul>","How does the Filter Section work under the Custom Templates?, <ul><li>The filter option avails two conditions i.e. 'and' & 'or'.  If we talk about the “and” condition, it will help you add multiple conditions in a single group. Similarly, the 'or' condition will help you add multiple groups in a filter Condition of products.</li></ul>",ced-amazon-15
10,"How can I link my existing listing to Amazon via the app?","<ul><li>To link the existing listing from Amazon you just need to run the “Match from Amazon” action in the Application.</li></ul>","How can I link my existing listing to Amazon via the app?, <ul><li>To link the existing listing from Amazon you just need to run the “Match from Amazon” action in the Application.</li></ul>",ced-amazon-16
11,"Is it necessary to perform inventory syncing after Match from Amazon?","Yes, it is mandatory to perform inventory syncing after Match from Amazon.","Is it necessary to perform inventory syncing after Match from Amazon?, Yes, it is mandatory to perform inventory syncing after Match from Amazon.",ced-amazon-17
12,"What would be the product matching condition 'MATCH FROM AMAZON' & estimate the time for processing?","<ul><li>While using “Match from Amazon” the matching will be done based on the SKUs. It should be the same in App & Amazon. You can update the SKU in APP (if you don’t want to update in Shopify). When you select a match from Amazon it takes approx 30-35 minutes to complete the process.</li></ul>","What would be the product matching condition 'MATCH FROM AMAZON' & estimate the time for processing?, <ul><li>While using “Match from Amazon” the matching will be done based on the SKUs. It should be the same in App & Amazon. You can update the SKU in APP (if you don’t want to update in Shopify). When you select a match from Amazon it takes approx 30-35 minutes to complete the process.</li></ul>",ced-amazon-18
13,"What would be the condition to sync product details from the app to amazon for the title, description?","<ul><li>To sync all details related to the product from the application to Amazon, the merchant needs to assign a category and map the required Attributes accurately.</li></ul>","What would be the condition to sync product details from the app to amazon for the title, description?, <ul><li>To sync all details related to the product from the application to Amazon, the merchant needs to assign a category and map the required Attributes accurately.</li></ul>",ced-amazon-19
14,"If a product is listed on Amazon with 2 variants & the seller added/updated the variant then how can it be synced with amazon?","<ul><li>For that, the seller needs to sync the variants from the application to Amazon. The Merchant needs to delete the product from Amazon and needs to re-upload the product along with its revised variants. Thus, it will be uploaded on Amazon through our application.</li></ul>","If a product is listed on Amazon with 2 variants & the seller added/updated the variant then how can it be synced with amazon?, <ul><li>For that, the seller needs to sync the variants from the application to Amazon. The Merchant needs to delete the product from Amazon and needs to re-upload the product along with its revised variants. Thus, it will be uploaded on Amazon through our application.</li></ul>",ced-amazon-20
15,"What is Fulfillment center Id?","<ul><li>Fulfillment center id means the Amazon fulfillment center’s ID which is a unique ID given to the fulfillment center’s of Amazon. This is done to identify the fulfillment center, which comes in the optional attributes section.  For eg- AMAZON_IN, AMAZON_EU</li></ul>","What is Fulfillment center Id?, <ul><li>Fulfillment center id means the Amazon fulfillment center’s ID which is a unique ID given to the fulfillment center’s of Amazon. This is done to identify the fulfillment center, which comes in the optional attributes section.  For eg- AMAZON_IN, AMAZON_EU</li></ul>",ced-amazon-21
16,"What is Variation theme?","<ul><li>It is a part of an optional Attribute Mapping which helps to sync the variants of products from the application to Amazon. The most common are size and color.</li></ul>","What is Variation theme?, <ul><li>It is a part of an optional Attribute Mapping which helps to sync the variants of products from the application to Amazon. The most common are size and color.</li></ul>",ced-amazon-22
17,"What is Country of origin?","<ul><li>Country of origin means the country where the product was issued.</li></ul>","What is Country of origin?, <ul><li>Country of origin means the country where the product was issued.</li></ul>",ced-amazon-23
18,"What is Key product Feature?","<ul><li>Key product features are the bullet points where we can add highlights of the product.</li></ul>","What is Key product Feature?, <ul><li>Key product features are the bullet points where we can add highlights of the product.</li></ul>",ced-amazon-24
19,"If you are unaware of the attribute_name then from where can you get the attributes definition?","<ul><li>For that, you can simply log in to seller central. After logging in you can simply click on the inventory section, after that you can see an add via upload option, by clicking on it you will see a generate template option. After downloading the file, you can see the attribute names related to the product category.</li></ul><b>NAVIGATION : <br />Seller central>>Inventory>>Add via upload>>Select the type of product>>Generate template>>Download the file.</b>","If you are unaware of the attribute_name then from where can you get the attributes definition?, <ul><li>For that, you can simply log in to seller central. After logging in you can simply click on the inventory section, after that you can see an add via upload option, by clicking on it you will see a generate template option. After downloading the file, you can see the attribute names related to the product category.</li></ul><b>NAVIGATION : <br />Seller central>>Inventory>>Add via upload>>Select the type of product>>Generate template>>Download the file.</b>",ced-amazon-25
20,"How to apply for brand registry?","For brand registry, kindly follow the below steps from Amazon seller account-<br/> Review eligibility requirements->Sign into Brand Registry -> Enroll your brand <br/> Below is the link- <a href='https://brandservices.amazon.com/brandregistry/eligibility' target='_blank'>https://brandservices.amazon.com/brandregistry/eligibility</a>","How to apply for brand registry?, For brand registry, kindly follow the below steps from Amazon seller account-<br/> Review eligibility requirements->Sign into Brand Registry -> Enroll your brand <br/> Below is the link- <a href='https://brandservices.amazon.com/brandregistry/eligibility' target='_blank'>https://brandservices.amazon.com/brandregistry/eligibility</a>",ced-amazon-26
